filename,LLM-decision,Reason
Tp_D_CNN_M_N_art00052_arc00030_11853.jpg,Spliced,"Explanation: The image shows a large golden wheel with intricate designs, but in the background, there is an oddly placed statue (possibly the Statue of Liberty) that does not fit naturally with the rest of the scene. The lighting and perspective of the statue do not match the rest of the image, indicating that elements from different sources have been combined."
Tp_D_CNN_M_N_cha00026_cha00028_11784.jpg,Spliced,"The image shows two women, but the proportions and positioning are unnatural. The woman on the left appears much smaller than the one on the right, which suggests that the image has been manipulated to combine two separate images or to alter the scale of one person relative to the other. This is a common sign of splicing."
Tp_D_CNN_M_N_nat00013_cha00042_11093.jpg,Authentic,"There are no obvious signs of manipulation in this image. The lighting, shadows, and proportions of the person and the landscape appear consistent and natural."
Tp_D_CNN_M_N_nat10156_ani00024_12016.jpg,Spliced,"The reindeer appears to be unnaturally placed in the scene. The lighting and shadows on the reindeer do not match the rest of the landscape, and there is a visible outline around the animal, indicating it was added to the image. The blending between the reindeer and the grass is also inconsistent with a natural photograph."
Tp_D_CNN_M_N_sec00011_cha00085_11227.jpg,Authentic
Tp_D_CNN_S_B_art10110_cha10110_11564.jpg,Authentic,"There are no visible signs of manipulation or splicing in this image. The lighting, shadows, and perspective are consistent throughout the scene. The objects and elements appear naturally integrated."
Tp_D_CNN_S_N_ani10198_ani10197_12407.jpg,Authentic,"The image shows three birds swimming in the water, and there are no visible signs of manipulation or splicing. The lighting, reflections, and interactions between the birds appear natural and consistent."
Tp_D_CNN_S_N_cha10122_nat00059_12169.jpg,Authentic,"There are no obvious signs of manipulation or splicing in this image. The lighting, shadows, and edges all appear consistent and natural. The person is wearing traditional attire, and the background elements fit together logically."
Tp_D_CNN_S_N_cha10122_nat10124_12167.jpg,Authentic,"The image appears to show a person in traditional attire, possibly for a cultural or religious ceremony. The costume and mask are elaborate, but there are no obvious signs of digital manipulation or splicing. The lighting, shadows, and overall composition are consistent throughout the image."
Tp_D_CNN_S_N_cha10122_nat10139_12166.jpg,Spliced,"Explanation: The face of the person in the image has been replaced with what appears to be a clock or a decorative object, which is not natural or authentic. This indicates that the image has been manipulated."
Tp_D_CNN_S_N_nat10156_ani00097_12022.jpg,Spliced,"Explanation: The sheep in the image appear to be unnaturally placed on the grass, with visible edges and lighting that do not match the rest of the scene. This suggests that the sheep were added to the image, indicating manipulation."
Tp_D_CNN_S_O_nat10153_ani00097_12135.jpg,Spliced,"The image shows a sheep in a field, but the sheep's head appears to be mismatched or edited onto the body, indicating manipulation. The lighting and proportions are inconsistent, suggesting the image has been spliced."
Tp_D_CRD_M_N_arc10116_arc10116_10762.jpg,Authentic,"There are no visible signs of manipulation or splicing in this image. The scene appears natural, with consistent lighting, shadows, and perspective throughout. The tilt of the image is likely due to the camera angle rather than any editing."
Tp_D_CRD_S_N_cha10211_cha10159_12333.jpg,Authentic,"There are no obvious signs of manipulation or splicing in this image. The lighting, shadows, and perspectives are consistent throughout the scene, and all elements appear naturally integrated."
Tp_D_CRN_M_B_ani00019_nat00013_11868.jpg,Authentic,"There are no obvious signs of manipulation or splicing in this image. The lighting, shadows, and focus appear consistent throughout the scene, and the iguanas look naturally integrated with their environment."
Tp_D_CRN_M_B_sec00085_arc00065_11450.jpg,Spliced,"The image shows a natural landscape with a river and rocky cliffs, but there is an out-of-place object in the lower left corner that appears to be a toy or model airplane. The lighting, focus, and scale of the airplane do not match the rest of the scene, indicating that it has been digitally inserted or spliced into the image."
Tp_D_CRN_M_N_ani10112_ani00100_11648.jpg,Spliced,"Explanation: The image shows an ant and what appears to be a bird or chick, but the bird is disproportionately large compared to the ant, making the scene unrealistic. This suggests that the image has been manipulated or spliced."
Tp_D_CRN_M_N_ani10112_ani10119_11624.jpg,Spliced,"Explanation: The image shows a chick and an ant, but the ant appears to be disproportionately large compared to the chick, which is not natural. This suggests that the image has been manipulated by splicing together two separate images or altering the scale of the ant."
Tp_D_CRN_M_N_ani10113_ani10119_11623.jpg,Spliced,"Explanation: The image shows two ants and what appears to be a chick, but the chick is disproportionately small compared to the ants, making it look unnatural. This suggests that the chick has been digitally inserted or manipulated to appear much smaller than it would be in reality, indicating the image has been spliced."
Tp_D_CRN_M_N_ani10116_ani00100_11643.jpg,Spliced,"The image shows a group of chicks, but the yellow chick on the right side appears to be unnaturally added. Its edges are not well blended with the rest of the image, and the lighting and focus do not match the other chicks, indicating manipulation."
Tp_D_CRN_M_N_ani10117_ani00100_11642.jpg,Spliced,"The image shows a group of chicks, but there is an adult chicken in the foreground that appears to be unnaturally blended into the scene. The lighting, focus, and edges of the adult chicken do not match the rest of the image, indicating that it has been digitally inserted."
Tp_D_CRN_M_N_ani10118_ani00100_11638.jpg,Spliced,"The hen in the upper right part of the image appears to be unnaturally floating above the ground, with lighting and shadow inconsistencies compared to the rest of the scene. This suggests that the image has been manipulated."
Tp_D_CRN_M_N_ani10118_sec00098_11619.jpg,Spliced,"The rooster in the foreground appears to have different lighting, focus, and sharpness compared to the rest of the image, indicating it was likely added from a different source. The edges around the rooster also look unnatural, further suggesting manipulation."
Tp_D_CRN_M_N_ani10119_ani00100_11641.jpg,Spliced,"The chicken in the foreground appears to be out of proportion and has a different focus and lighting compared to the other chicks, indicating it was likely added to the image from a different source."
Tp_D_CRN_M_N_ani10120_ani00100_11639.jpg,Spliced,"Explanation: The central yellow chicken appears to be floating above the ground, which is unnatural. The lighting and focus on the chicken do not match the rest of the image, indicating it was likely added or manipulated digitally."
Tp_D_CRN_M_N_ani10120_sec00098_11632.jpg,Spliced,"The image appears to have a person who does not blend naturally with the rest of the scene. The lighting, focus, and edges around the person suggest that they were added to the image, indicating manipulation."
Tp_D_CRN_M_N_ani10144_nat10139_12474.jpg,Authentic,"There are no obvious signs of manipulation in this image. The lighting, shadows, and perspective of the birds on the roof appear consistent and natural."
Tp_D_CRN_M_N_arc00008_nat10122_11773.jpg,Authentic
Tp_D_CRN_M_N_arc00054_cha00085_11922.jpg,Spliced,"Explanation: The grass in the foreground appears unnaturally bright and sharply separated from the ruins in the background, suggesting that two different images have been combined. The lighting and color tones between the grass and the ruins do not match, which is a common sign of image splicing. Additionally, there is an odd, dark spot on the grass that looks out of place and further suggests manipulation."
Tp_D_CRN_M_N_art00067_ani00093_11801.jpg,Spliced,"The image appears manipulated because the ""head"" attached to the horns looks like a piece of wood, which is not a natural animal head. The blending and proportions are inconsistent with a real animal, indicating splicing."
Tp_D_CRN_M_N_art00067_ani00095_11803.jpg,Spliced,"The image shows a cow's head that appears to be unnaturally placed or edited onto another object or background. The blending and proportions do not look natural, indicating manipulation."
Tp_D_CRN_M_N_art00067_ani00096_11802.jpg,Spliced,"The image shows a cow's head that appears to be unnaturally placed onto another object, likely through digital manipulation. The blending and proportions do not match the background, indicating it has been spliced."
Tp_D_CRN_M_N_art10107_cha10112_11582.jpg,Authentic,"There are no obvious signs of manipulation in this image. The lighting, shadows, and proportions of the person and the surroundings appear consistent and natural."
Tp_D_CRN_M_N_art10112_cha00086_11672.jpg,Spliced,"The lighting, shadows, and edges around the child do not match the rest of the image, indicating that the child was added to the scene using photo manipulation."
Tp_D_CRN_M_N_art10113_cha00067_11650.jpg,Spliced,"The lighting, sharpness, and edges of the woman do not match the rest of the image, indicating she was added in post-processing."
Tp_D_CRN_M_N_art10115_cha00086_11526.jpg,Spliced,"The lighting and shadows on the child do not match the lighting in the cave, and the edges around the child appear unnatural, indicating that the child was added to the image."
Tp_D_CRN_M_N_cha00035_cha00040_11732.jpg,Spliced,"The man in the yellow pants and orange jacket appears to be unnaturally inserted into the scene. The lighting, shadows, and edges around him do not match the rest of the image, indicating that this image has been manipulated."
Tp_D_CRN_M_N_cha00050_cha00026_11787.jpg,Spliced,"Explanation: The image shows two women standing next to each other, but the lighting, focus, and shadows on each person are noticeably different. The woman on the right appears to be cut out and placed next to the woman on the left, indicating that the image has been manipulated."
Tp_D_CRN_M_N_cha00060_cha00040_11678.jpg,Authentic,"There are no obvious signs of manipulation in this image. The lighting, shadows, and proportions of the people and objects appear consistent and natural."
Tp_D_CRN_M_N_cha00062_cha00040_11020.jpg,Spliced,"The man in the red jacket and yellow pants appears out of place compared to the rest of the scene, which features people in Roman soldier costumes. The lighting, focus, and shadows on him do not match the rest of the image, indicating he was likely added from a different photo."
Tp_D_CRN_M_N_cha10108_cha00027_11666.jpg,Spliced,"Explanation: The woman on the left side of the image appears out of place compared to the rest of the scene. Her lighting, shadows, and proportions do not match the surrounding environment, indicating that she was likely added to the image through digital manipulation."
Tp_D_CRN_M_N_cha10108_cha00040_11665.jpg,Authentic,"There are no visible signs of manipulation or splicing in this image. The lighting, shadows, and proportions of the people and objects all appear consistent and natural."
Tp_D_CRN_M_N_cha10137_art00021_12210.jpg,Spliced,"Explanation: The person in the boat appears to have the head of a chimpanzee or another primate, which is not natural. This indicates that the image has been manipulated or spliced."
Tp_D_CRN_M_N_cha10162_nat10123_12253.jpg,Spliced,"Explanation: The lighting and shadows on the people and objects in the foreground do not match the brightness and color of the sky in the background. The sky appears to be much brighter and has a different color tone, suggesting that it was added or altered separately from the rest of the image. This inconsistency is a common sign of image splicing."
Tp_D_CRN_M_N_cha10166_nat10123_12273.jpg,Authentic,"There are no obvious signs of manipulation or splicing in this image. The lighting, shadows, and perspective appear consistent throughout the scene. The people and the background blend naturally, suggesting the image is unedited."
Tp_D_CRN_M_N_cha10198_nat10123_12362.jpg,Spliced,"Explanation: The sky in the background appears unnaturally blue and sharply contrasted compared to the rest of the image, suggesting it has been edited or replaced. The edges around the bull statue and the people also look inconsistent with natural lighting and blending, further indicating manipulation."
Tp_D_CRN_M_N_cha10198_nat10160_12365.jpg,Spliced,"Explanation: The lighting and color tones on the people and the bull statue do not match the background, particularly the sky, which looks unnaturally bright and edited. The edges around the bull and some people also appear slightly inconsistent, suggesting that elements from different images have been combined."
Tp_D_CRN_M_N_nat10116_cha00026_11674.jpg,Spliced,"The lighting, focus, and scale of the woman in the foreground do not match the background scenery, indicating that the image has been manipulated to combine two separate photos."
Tp_D_CRN_M_N_nat10129_cha00086_11522.jpg,Spliced,"The child appears unnaturally placed on the rocks, with lighting and shadows that do not match the environment, indicating that the image has been manipulated."
Tp_D_CRN_M_N_nat10130_cha00086_11523.jpg,Spliced,"The lighting and shadows on the child do not match the surrounding environment, and the edges around the child appear unnatural, indicating that the child was added to the image from a different source."
Tp_D_CRN_M_N_nat10156_ani00001_12021.jpg,Spliced,"The zebra appears to be unnaturally placed in the scene. The lighting and sharpness of the zebra do not match the background, indicating that it was likely added to the image using photo editing software."
Tp_D_CRN_M_N_nat10159_ani00021_12058.jpg,Spliced,"The image shows a landscape with a tree and a bison. The bison appears to be unnaturally placed in the scene, with lighting and shadow that do not match the rest of the environment, indicating that it has been digitally added to the original photo."
Tp_D_CRN_M_N_sec00015_cha00086_11400.jpg,Spliced,"The lighting, shadows, and edges around the child do not match the rest of the scene, indicating that the child was added to the image of the pool and garden."
Tp_D_CRN_M_O_nat00013_ani00070_11413.jpg,Spliced,"The lighting, focus, and edges of the eagle do not match the background, indicating that the eagle was added to the landscape image. The proportions and blending also appear unnatural."
Tp_D_CRN_M_O_nat10159_ani00001_12057.jpg,Spliced,"The zebra appears unnaturally placed in the landscape, with lighting and shadow inconsistencies compared to the rest of the scene, indicating that it has been digitally added to the image."
Tp_D_CRN_S_B_nat00030_arc00029_20104.jpg,Spliced,"The image shows a classical Greek or Roman-style temple placed on top of a coastal cliff, which is highly unlikely and suggests digital manipulation. The structure does not match the natural environment, indicating that it has been spliced into the scene."
Tp_D_CRN_S_B_nat10153_ani00001_12136.jpg,Spliced,"The zebra appears to be unnaturally placed in the field, with lighting and shadow inconsistencies compared to the background. The sharpness and contrast of the zebra do not match the rest of the image, indicating it was added from a different source."
Tp_D_CRN_S_N_ani00019_ani00055_11862.jpg,Spliced,"Explanation: The image shows marine iguanas on rocks, but there is also a brightly colored salamander or newt in the foreground that appears out of place. The lighting, sharpness, and scale of the salamander do not match the rest of the image, suggesting it was added in post-processing."
Tp_D_CRN_S_N_ani00050_ani00019_11856.jpg,Spliced,"Explanation: The image shows a snake on the ground, but in the lower right corner, there is an animal head (possibly a lizard or another reptile) that appears to be unnaturally blended into the scene. The lighting, focus, and positioning suggest that this part of the image has been manipulated or spliced in."
Tp_D_CRN_S_N_ani00054_ani00019_11859.jpg,Spliced,"The image shows a scene with a snake on the ground, but there is also an animal that appears to be a small dinosaur or a lizard with an unnatural appearance and lighting. This animal does not fit naturally with the rest of the image, indicating that it has been digitally inserted or manipulated."
Tp_D_CRN_S_N_ani00055_ani00019_11860.jpg,Spliced,"Explanation: The image shows a salamander with yellow spots on the left, but on the right side, there is an animal that appears to be unnaturally inserted into the scene. The lighting, focus, and blending of the animal on the right do not match the rest of the image, indicating that it has been spliced in."
